#{"t_start": 1684149100.8180387, "env_id": "FoRLCartPoleRandomNormal-v0"}
r,l,t
200.0,200,148.85317
200.0,200,149.30852
200.0,200,150.407466
200.0,200,150.857355
200.0,200,151.316171
200.0,200,151.77164
200.0,200,152.219767
200.0,200,152.67276
200.0,200,153.141441
200.0,200,153.632511
200.0,200,154.091878
200.0,200,154.542855
200.0,200,155.008355
200.0,200,155.446088
200.0,200,155.918699
200.0,200,156.375804
200.0,200,156.817505
